estimate,se,lcl,ucl,StudyID,reach_start,reach_end,rkm_start,rkm_end,Region,Reach,RKM,count_at_start,count_at_end,GenLat_start,GenLon_start,GenLat_end,GenLon_end
0.9235687,0.0245503,0.8593843,0.9598255,CNFH_FMR_2021,RBDD_Rel,Abv_Altube1,461.579,460.4,Upper Sac R,"RBDD_Rel to 
Abv_Altube1",461.579 to 460.4,961,951,40.15444,-122.20249,40.15348,-122.1887
0.9309143,0.0138862,0.898222,0.9536473,CNFH_FMR_2021,Abv_Altube1,Blw_Salt,460.4,456.888,Upper Sac R,"Abv_Altube1 to 
Blw_Salt",460.4 to 456.888,951,927,40.15348,-122.1887,40.1464,-122.15246
0.9653452,0.0096264,0.9406465,0.9799848,CNFH_FMR_2021,Blw_Salt,Abv_WoodsonBr,456.888,425.158,Upper Sac R,"Blw_Salt to 
Abv_WoodsonBr",456.888 to 425.158,927,362,40.1464,-122.15246,39.920094,-122.08446000000001
0.7916982,0.01636,0.7578177,0.8219525,CNFH_FMR_2021,Abv_WoodsonBr,GCID_abv,425.158,406.118,Upper Sac R,"Abv_WoodsonBr to 
GCID_abv",425.158 to 406.118,362,531,39.920094,-122.08446000000001,39.806767,-122.05846
0.5786772,0.046312,0.4862637,0.6658891,CNFH_FMR_2021,GCID_abv,GCID_blw,406.118,404.428,Upper Sac R,"GCID_abv to 
GCID_blw",406.118 to 404.428,531,484,39.806767,-122.05846,39.79114,-122.036026
0.9050392,0.0144933,0.8725821,0.9298928,CNFH_FMR_2021,GCID_blw,Blw_IrvineFinch,404.428,394.668,Upper Sac R,"GCID_blw to 
Blw_IrvineFinch",404.428 to 394.668,484,428,39.79114,-122.036026,39.73146,-121.97483
0.8360526,0.0125789,0.8098869,0.8592429,CNFH_FMR_2021,Blw_IrvineFinch,Ord,394.668,371.658,Upper Sac R,"Blw_IrvineFinch to 
Ord",394.668 to 371.658,428,289,39.73146,-121.97483,39.63447,-121.98959
0.8063597,0.0234577,0.7562213,0.8482552,CNFH_FMR_2021,Ord,BlwOrd,371.658,361.728,Upper Sac R,"Ord to 
BlwOrd",371.658 to 361.728,289,234,39.63447,-121.98959,39.56548,-122.0018
0.8439068,0.020284,0.7999179,0.8796793,CNFH_FMR_2021,BlwOrd,ButteBr,361.728,344.108,Upper Sac R,"BlwOrd to 
ButteBr",361.728 to 344.108,234,158,39.56548,-122.0018,39.4569,-121.995
0.7316034,0.0320102,0.6644653,0.7895622,CNFH_FMR_2021,ButteBr,Colusa AC3,344.108,331.158,Lower Sac R,"ButteBr to 
Colusa AC3",344.108 to 331.158,158,115,39.4569,-121.995,39.36038,-122.01373
0.7439164,0.037444,0.6640029,0.8102545,CNFH_FMR_2021,Colusa AC3,Colusa AC2,331.158,318.618,Lower Sac R,"Colusa AC3 to 
Colusa AC2",331.158 to 318.618,115,79,39.36038,-122.01373,39.28007,-122.01891
0.7619303,0.0477331,0.6564517,0.8427802,CNFH_FMR_2021,Colusa AC2,AbvColusaBr,318.618,307.738,Lower Sac R,"Colusa AC2 to 
AbvColusaBr",318.618 to 307.738,79,55,39.28007,-122.01891,39.2205,-122.00847
0.8556233,0.0445305,0.7451421,0.9231503,CNFH_FMR_2021,AbvColusaBr,Colusa BC2,307.738,296.278,Lower Sac R,"AbvColusaBr to 
Colusa BC2",307.738 to 296.278,55,50,39.2205,-122.00847,39.184963,-121.943214
0.8468043,0.0532725,0.7119505,0.9251611,CNFH_FMR_2021,Colusa BC2,Colusa BC3,296.278,287.208,Lower Sac R,"Colusa BC2 to 
Colusa BC3",296.278 to 287.208,50,43,39.184963,-121.943214,39.13132,-121.936554
0.9471172,0.0257403,0.8673885,0.9800158,CNFH_FMR_2021,Colusa BC3,AbvTisdale,287.208,269.238,Lower Sac R,"Colusa BC3 to 
AbvTisdale",287.208 to 269.238,43,39,39.13132,-121.936554,39.0364,-121.82918
0.9673657,0.0320951,0.801639,0.9954218,CNFH_FMR_2021,AbvTisdale,BlwTisdale,269.238,261.408,Lower Sac R,"AbvTisdale to 
BlwTisdale",269.238 to 261.408,39,38,39.0364,-121.82918,38.98941,-121.80463
0.8016884,0.0477769,0.6916561,0.8793073,CNFH_FMR_2021,BlwTisdale,BlwChinaBend,261.408,240.618,Lower Sac R,"BlwTisdale to 
BlwChinaBend",261.408 to 240.618,38,24,38.98941,-121.80463,38.88406,-121.81713
0.8817905,0.0497227,0.7454588,0.9500008,CNFH_FMR_2021,BlwChinaBend,Knights_RST,240.618,222.05,Lower Sac R,"BlwChinaBend to 
Knights_RST",240.618 to 222.05,24,19,38.88406,-121.81713,38.79248,-121.69087
1,0,1,1,CNFH_FMR_2021,Knights_RST,KnightsBlwRST,222.05,221.58,Lower Sac R,"Knights_RST to 
KnightsBlwRST",222.05 to 221.58,19,19,38.79248,-121.69087,38.78877,-121.694
0.9999978,4.302683e-4,7.635974e-161,1,CNFH_FMR_2021,KnightsBlwRST,Abv_FremontWeir,221.58,215.18,Lower Sac R,"KnightsBlwRST to 
Abv_FremontWeir",221.58 to 215.18,19,19,38.78877,-121.694,38.76009,-121.67145
0.9999997,6.100988e-4,1.815825e-302,1,CNFH_FMR_2021,Abv_FremontWeir,Blw_FremontWeir,215.18,210.36,Lower Sac R,"Abv_FremontWeir to 
Blw_FremontWeir",215.18 to 210.36,19,3,38.76009,-121.67145,38.77015,-121.6322
0.9999997,0.0021089,1.904189e-302,1,CNFH_FMR_2021,Blw_FremontWeir,Blw_FRConf,210.36,203.468,Lower Sac R,"Blw_FremontWeir to 
Blw_FRConf",210.36 to 203.468,3,2,38.77015,-121.6322,38.78212,-121.61526
0.5998036,0.198661,0.2283791,0.8835803,CNFH_FMR_2021,Blw_FRConf,Blw_FR_GS2,203.468,199,Lower Sac R,"Blw_FRConf to 
Blw_FR_GS2",203.468 to 199,2,11,38.78212,-121.61526,38.73505,-121.60267
0.9971483,0,0.9971483,0.9971483,CNFH_FMR_2021,Blw_FR_GS2,Blw_Elkhorn_GS1,199,191.92,Lower Sac R,"Blw_FR_GS2 to 
Blw_Elkhorn_GS1",199 to 191.92,11,10,38.73505,-121.60267,38.64737,-121.57771
0.4444618,0.1047631,0.2583281,0.6476054,CNFH_FMR_2021,Blw_Elkhorn_GS1,TowerBridge,191.92,172,Lower Sac R,"Blw_Elkhorn_GS1 to 
TowerBridge",191.92 to 172,10,3,38.64737,-121.57771,38.5802,-121.508
1,0,1,1,CNFH_FMR_2021,TowerBridge,I80-50_Br,172,170.748,Lower Sac R,"TowerBridge to 
I80-50_Br",172 to 170.748,3,3,38.5802,-121.508,38.571133,-121.5164
0.0610755,0.1268997,8.495791e-4,0.8326702,CNFH_FMR_2021,I80-50_Br,SacTrawl,170.748,166.8225,Lower Sac R,"I80-50_Br to 
SacTrawl",170.748 to 166.8225,3,1,38.571133,-121.5164,38.539519999999996,-121.51444000000001
0.9999999,0,0.9999999,0.9999999,CNFH_FMR_2021,SacTrawl,Little Pocket_DS of I80,166.8225,164.387,Lower Sac R,"SacTrawl to 
Little Pocket_DS of I80",166.8225 to 164.387,1,1,38.539519999999996,-121.51444000000001,38.52448,-121.52849
1,0,1,1,CNFH_FMR_2021,Little Pocket_DS of I80,Freeport,164.387,152.438,Lower Sac R,"Little Pocket_DS of I80 to 
Freeport",164.387 to 152.438,1,1,38.52448,-121.52849,38.46467,-121.50501
1,0,1,1,CNFH_FMR_2021,Freeport,Abv_Clarksburg,152.438,147.668,Lower Sac R,"Freeport to 
Abv_Clarksburg",152.438 to 147.668,1,1,38.46467,-121.50501,38.43443,-121.52448
