estimate,se,lcl,ucl,StudyID,reach_start,reach_end,rkm_start,rkm_end,Region,Reach,RKM,reach_num,release,count_at_start,count_at_end,GenLat_start,GenLon_start,GenLat_end,GenLon_end
0.0014989,3.241135e-4,9.81007e-4,0.0022897,SJ_Steelhead_2021,DurhamFerry_Rel,Durhamferry,183.58,181.8,San Joaquin River ,"DurhamFerry_Rel to 
Durhamferry",183.58 to 181.8,1,DurhamFerry_Rel,600,458,37.6878,-121.26219,37.69146,-121.27106
0.7088714,0.0212139,0.6656183,0.7486425,SJ_Steelhead_2021,Durhamferry,SJ_BCA,181.8,171.701,San Joaquin River ,"Durhamferry to 
SJ_BCA",181.8 to 171.701,2,DurhamFerry_Rel,458,329,37.69146,-121.27106,37.73305,-121.29555
0.8179283,0.0228247,0.7688755,0.8584865,SJ_Steelhead_2021,SJ_BCA,Mossdale,171.701,163.141,San Joaquin River ,"SJ_BCA to 
Mossdale",171.701 to 163.141,3,DurhamFerry_Rel,329,280,37.73305,-121.29555,37.79228,-121.306885
0.7456385,0.0180183,0.7087416,0.7793167,SJ_Steelhead_2021,Mossdale,Chipps,163.141,71.48599999999999,San Joaquin River ,"Mossdale to 
Chipps",163.141 to 71.486,4,DurhamFerry_Rel,280,19,37.79228,-121.306885,38.046132,-121.912643
0.9441121,0.0384131,0.8021829,0.985989,SJ_Steelhead_2021,Chipps,Benicia,71.48599999999999,52.144000000000005,West Delta,"Chipps to 
Benicia",71.486 to 52.144,9,DurhamFerry_Rel,19,17,38.046132,-121.912643,38.0423015,-122.1236
0.9423367,0.0400501,0.7939856,0.9857741,SJ_Steelhead_2021,Benicia,GoldenGateE,52.144000000000005,1.71,Carquinez Strait,"Benicia to 
GoldenGateE",52.144 to 1.71,10,DurhamFerry_Rel,17,7,38.0423015,-122.1236,37.82794,-122.46168
5.502547e-5,1.784879e-5,2.913719e-5,1.03913e-4,SJ_Steelhead_2021,Head_of_Old_River_Rel,OR_HOR_US,159.141,157.981,NA,"Head_of_Old_River_Rel to 
OR_HOR_US",159.141 to 157.981,5,Head_of_Old_River_Rel,0,476,37.80789,-121.3295,37.8145,-121.3349
1,0,1,1,SJ_Steelhead_2021,OR_HOR_US,OR_HOR_DS,157.981,157.781,South Delta,"OR_HOR_US to 
OR_HOR_DS",157.981 to 157.781,6,Head_of_Old_River_Rel,476,457,37.8145,-121.3349,37.81544,-121.33453
0.6889975,0.0179995,0.6526701,0.7231371,SJ_Steelhead_2021,OR_HOR_DS,Chipps,157.781,71.48599999999999,South Delta,"OR_HOR_DS to 
Chipps",157.781 to 71.486,7,Head_of_Old_River_Rel,457,18,37.81544,-121.33453,38.046132,-121.912643
0.8781433,0.0572056,0.7164987,0.9535921,SJ_Steelhead_2021,Chipps,Benicia,71.48599999999999,52.144000000000005,West Delta,"Chipps to 
Benicia",71.486 to 52.144,9,Head_of_Old_River_Rel,18,15,38.046132,-121.912643,38.0423015,-122.1236
0.9793242,0.0312683,0.6966051,0.9989776,SJ_Steelhead_2021,Benicia,GoldenGateE,52.144000000000005,1.71,Carquinez Strait,"Benicia to 
GoldenGateE",52.144 to 1.71,10,Head_of_Old_River_Rel,15,9,38.0423015,-122.1236,37.82794,-122.46168
0.5308341,0.0161221,0.4991533,0.5622683,SJ_Steelhead_2021,Stockton_Rel,Chipps,135.5,71.48599999999999,South Delta,"Stockton_Rel to 
Chipps",135.5 to 71.486,8,Stockton_Rel,298,26,37.937782,-121.33374,38.046132,-121.912643
0.9385743,0.0343734,0.826059,0.9800645,SJ_Steelhead_2021,Chipps,Benicia,71.48599999999999,52.144000000000005,West Delta,"Chipps to 
Benicia",71.486 to 52.144,9,Stockton_Rel,26,23,38.046132,-121.912643,38.0423015,-122.1236
0.9831507,0.0126082,0.9292133,0.9961593,SJ_Steelhead_2021,Benicia,GoldenGateE,52.144000000000005,1.71,Carquinez Strait,"Benicia to 
GoldenGateE",52.144 to 1.71,10,Stockton_Rel,23,20,38.0423015,-122.1236,37.82794,-122.46168
